departamento;municipio;armas medios;cantidad;dia;mes;periodo;diasem
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;17;9;2013;3
meta;villavicencio (ct);arma de fuego;1;17;9;2013;3
atlantico;barranquilla (ct);arma de fuego;1;20;9;2013;6
magdalena;santa marta (ct);arma de fuego;1;21;9;2013;7
atlantico;candelaria;arma de fuego;1;27;9;2013;6
atlantico;puerto colombia;contundentes;1;30;9;2013;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;3;10;2013;5
sucre;sincelejo (ct);arma de fuego;1;4;10;2013;6
magdalena;fundacion;arma de fuego;1;15;10;2013;3
atlantico;galapa;arma de fuego;1;21;10;2013;2
antioquia;medellin (ct);contundentes;1;23;10;2013;4
cordoba;monteria (ct);sin empleo de armas;1;30;10;2013;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;7;11;2013;5
atlantico;barranquilla (ct);arma de fuego;1;12;11;2013;3
atlantico;barranquilla (ct);arma de fuego;1;15;11;2013;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;19;11;2013;3
valle;cali (ct);arma de fuego;1;22;11;2013;6
antioquia;medellin (ct);arma de fuego;1;26;11;2013;3
atlantico;barranquilla (ct);arma de fuego;1;27;11;2013;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;28;11;2013;5
atlantico;baranoa;arma de fuego;1;2;12;2013;2
antioquia;medellin (ct);arma de fuego;1;6;12;2013;6
cesar;san diego;arma de fuego;1;12;12;2013;5
valle;jamundi;arma de fuego;1;12;12;2013;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;19;12;2013;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;24;12;2013;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;27;12;2013;6
antioquia;medellin (ct);contundentes;1;28;12;2013;7
amazonas;leticia (ct);sin empleo de armas;1;28;12;2013;7
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;7;1;2014;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;8;1;2014;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;15;1;2014;4
valle;cali (ct);arma de fuego;1;15;1;2014;4
bolivar;cartagena (ct);arma de fuego;1;17;1;2014;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;17;1;2014;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;22;1;2014;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;23;1;2014;5
cesar;valledupar (ct);sin empleo de armas;1;28;1;2014;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;29;1;2014;4
atlantico;barranquilla (ct);arma de fuego;1;30;1;2014;5
cesar;el copey;arma de fuego;1;30;1;2014;5
